the_geom,OBJECTID,Rec_Type,Site_Num,Fac_Type,Loc_Id,Eff_Date,Region_Cod,Field_Offi,State_Post,State_Name,County,County_Pos,City,Fac_Name,Owner_Type,Fac_Use,Owner_Name,Owner_Addr,Owner_City,Owner_Phon,Manager_Na,Manager_Ad,Manager_Ci,Manager_Ph,Ref_Point_,Ref_Poin_1,Ref_Poin_2,Ref_Poin_3,Ref_Poin_4,Elevation,Elevation_,Mag_Var,Mag_Var_Ye,Pattern_Al,Sectional_,Dist_City_,Dir_City_T,Land_Area_,Boundary_A,Boundary_1,Boundary_2,Responsibl,Responsi_1,Responsi_2,Fss_On_Fac,Fss_Id,Fss_Name,Local_Phon,Toll_Free_,Alt_Fss_Id,Alt_Fss_Na,Toll_Fre_1,Notam_Wx_F,Notam_DSer,Activation,Status_Cod,Arff_Cert_,Npias_Fed_,Airspace_A,Intl_Custo,Intl_Cus_1,Mil_Joint_,Mil_Landin,Inspection,Agency_Ins,Last_Inspe,Last_Info_,Fuel_Types,Repair_Ser,Power_Plan,Bottled_Ox,Bulk_Oxyge,Lighting_S,Beacon_Lig,Atc_Tower,Unicom,Ctaf,Seg_Circle,Beacon_Col,Landing_Fe,Medical_Fa,Based_Sing,Based_Mult,Based_Jet_,Based_Heli,Based_Glid,Based_Mili,Based_Ultr,Commercial,Commuter_O,Air_Taxi_O,Ga_Local_O,Ga_Itinera,Mitary_Ops,Annual_Ops,Position_S,Position_1,Elevatio_1,Elevatio_2,Contract_F,Transient_,Other_Serv,Wind_Indic,Icao_Ident,Min_Op_Net,Filler
POINT (-88.37511111122015 42.40288888911922),5431,APT,04715.*A,AIRPORT,10C,7/16/2020,AGL,CHI,IL,ILLINOIS,MC HENRY,IL,GREENWOOD/WONDER LAKE,GALT FIELD,PR,PU,"FLAGSHIP PHOENIX, INC",5112 GREENWOOD ROAD,"WONDER LAKE, IL 60097",815-648-2433,JUSTIN CLELAND,5112 GREENWOOD ROAD,"GREENWOOD, IL 60097",815-648-2433,42-24-10.4000N,152650.4000N,088-22-30.4000W,318150.4000W,E,875.0,S,02W,2000.0,800.0,CHICAGO,1.0,N,173.0,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,IKK,Y,Sep-58,O,,N,NOT ANALYZED,N,N,N,N,S,S,8302017.0,3092007.0,100LL,MAJOR,MAJOR,NONE,NONE,,SS-SR,N,122.8,122.8,,CG,N,,30.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,15000.0,25000.0,,7/31/2017,NGS,10/10/2001,,,,"HGR,TIE","INSTR,RNTL",Y-L,,N,
POINT (-117.43715249989206 47.581836111106014),18813,APT,26416.2*A,AIRPORT,04WA,7/16/2020,ANM,SEA,WA,WASHINGTON,SPOKANE,WA,SPOKANE,OX MEADOWS,PR,PR,CHARLES A. STEELE,7824 CEDAR RD,"SPOKANE, WA 99224",509-991-0230,CHARLES A. STEELE,7824 CEDAR RD,"SPOKANE, WA 99224",509-991-0230,47-34-54.6100N,171294.6100N,117-26-13.7490W,422773.7490W,E,2345.0,E,19E,1985.0,,SEATTLE,6.0,S,,ZSE,ZCS,SEATTLE,ZSE,ZCS,SEATTLE,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,,N,Aug-57,O,,,NOT ANALYZED,,,,,2,N,,8122018.0,,MINOR,MINOR,,,,,N,,,N,,N,,14.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
POINT (-88.55833333272561 43.33852777772489),19120,APT,27262.02*A,AIRPORT,58WI,7/16/2020,AGL,NONE,WI,WISCONSIN,DODGE,WI,HUSTISFORD,RIEGLEMAN FIELD,PR,PR,PAUL RIEGLEMAN,N40 W32640 NASHOTAH AVE.,"NASHOTAH, WI 53058",414-322-7505,PAUL RIEGLEMAN,N40 W32640 NASHOTAH AVE.,"NASHOTAH, WI 53058",414-322-7505,43-20-18.7000N,156018.7000N,088-33-30.0000W,318810.0000W,E,950.0,,,,,CHICAGO,2.0,E,,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,,,May-17,O,,,CONDITIONAL,,,,,,N,,4102018.0,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STATE,6/27/2016,STATE,6/27/2016,,,,,,N,
POINT (-79.74894166724329 34.92923888934486),10564,APT,17063.07*H,HELIPORT,92NR,7/16/2020,ASO,MEM,NC,NORTH CAROLINA,RICHMOND,NC,ROCKINGHAM,FIRSTHEALTH RICHMOND MEMORIAL HOSPITAL,PR,PR,FIRSTHEALTH RICHMOND MEMORIAL HOSP,925 LONG DR,"ROCKINGHAM, NC 28379",910-417-3701,JOHN J. JACKSON,925 LONG DR,"ROCKINGHAM, NC 28379",910-417-3701,34-55-45.2600N,125745.2600N,079-44-56.1900W,287096.1900W,E,107.0,E,,,,CHARLOTTE,3.0,WNW,1.0,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,,RDU,RALEIGH,,1-800-WX-BRIEF,,,,,,Mar-10,O,,,CONDITIONAL,,,,,,N,,1302017.0,,,,,,SS-SR,,N,122.8,,Y,CGY,,Y,,,,,,,,,,,,,,1/28/2009,FAA-EST IMAGERY,11/30/2014,OWNER,9/1/2009,,,,Y,,N,
POINT (-85.39678333288258 33.37303888881465),1075,APT,00598.*H,HELIPORT,8AL8,7/16/2020,ASO,NONE,AL,ALABAMA,RANDOLPH,AL,WOODLAND,WOODLAND CLINIC,PR,PR,RANDOLPH CO HEALTH CARE AUTHORITY,POB 1125,"ROANOKE, AL 36274",3348856326,WILLIAM CAYPLESS,POB 1125,"ROANOKE, AL 36274",3348856326,33-22-22.9400N,120142.9400N,085-23-48.4200W,307428.4200W,E,1119.0,E,,,,ATLANTA,0.0,E,,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,,ANB,ANNISTON,,1-800-WX-BRIEF,,,,,,Aug-16,O,,,CONDITIONAL,,,,,,N,,2152018.0,,,,,,,,N,,,,,,Y,,,,,,,,,,,,,,,OWNER,8/2/2016,OWNER,8/2/2016,,,,Y,,N,
POINT (-100.04896666732662 41.54925000032581),10963,APT,12602.*A,AIRPORT,NE36,7/16/2020,ACE,NONE,NE,NEBRASKA,CUSTER,NE,ANSELMO,WERNER RANCH AIRFIELD,PR,PR,TOM AND LYNNE WERNER,2729 LAKEWOOD DR.,"GRAND ISLAND, NE 68801",308-380-8738,TOM AND LYNNE WERNER,2729 LAKEWOOD DR.,"GRAND ISLAND, NE 68801",308-380-8738,41-32-57.3000N,149577.3000N,100-02-56.2800W,360176.2800W,E,2838.0,E,,,,OMAHA,9.0,SW,,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,,OLU,COLUMBUS,,1-800-WX-BRIEF,,,,,,Jul-16,O,,,NO OBJECTION,,,,,,N,,2092017.0,,,,,,,,N,,,,,,,1.0,,,,,,,,,,,,,,OWNER,3/26/2016,OWNER,3/26/2016,,,,,,N,
POINT (-97.21491666717101 37.69391666683862),6745,APT,06973.*A,AIRPORT,BEC,7/16/2020,ACE,NONE,KS,KANSAS,SEDGWICK,KS,WICHITA,BEECH FACTORY,PR,PU,BEECHCRAFT AIRCRAFT COMPANY,10511 E. CENTRAL,"WICHITA, KS 67201",(316) 515-5300,TODD BAYLESS,10511 E. CENTRAL,"WICHITA, KS 67201",(316) 515-8365,37-41-38.1000N,135698.1000N,097-12-53.7000W,349973.7000W,E,1408.59997559,S,04E,2015.0,,WICHITA,5.0,E,1280.0,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,ICT,WICHITA,,1-800-WX-BRIEF,,,,ICT,Y,Apr-40,O,,,NOT ANALYZED,,,,,S,S,8132019.0,,,NONE,NONE,NONE,,SEE RMK,SS-SR,Y,122.95,126.8,Y,CG,N,,21.0,29.0,10.0,,,17.0,,,,,26500.0,1700.0,4500.0,8/13/2019,3RD PARTY SURVEY,11/7/2011,3RD PARTY SURVEY,11/7/2011,,TIE,,Y-L,KBEC,N,
POINT (-109.23921500038688 45.6305238890606),9951,APT,12304.*A,AIRPORT,6S3,7/16/2020,ANM,HLN,MT,MONTANA,STILLWATER,MT,COLUMBUS,WOLTERMANN MEMORIAL,PU,PU,CITY OF COLUMBUS & STILLWATER CTY,PO BOX 970,"COLUMBUS, MT 59019",406-322-8010,HARDIN GRAHAM,1853 E. 1ST AVE. SO.,"COLUMBUS, MT 59019",406-780-0034,45-37-49.8860N,164269.8860N,109-14-21.1740W,393261.1740W,E,3577.60009766,S,15E,1985.0,,GREAT FALLS,0.0,SE,128.0,ZLC,ZCU,SALT LAKE CITY,ZLC,ZCU,SALT LAKE CITY,N,GTF,GREAT FALLS,,1-800-WX-BRIEF,,,,GTF,Y,Apr-40,O,,N,NO OBJECTION,N,N,N,N,F,S,7202019.0,,100LL,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,4000.0,2000.0,10.0,7/20/2019,NACO,10/24/2003,NACO,10/24/2003,,TIE,"AGRI,INSTR",Y,,N,
POINT (-97.22586694363484 35.71450138866735),13471,APT,19078.01*A,AIRPORT,OK55,7/16/2020,ASW,AOK,OK,OKLAHOMA,OKLAHOMA,OK,LUTHER,BOST RANCH,PR,PR,TOMMY LANGSTON,RT 1 BOX 404,"LUTHER, OK 73054",405-277-3311,,,,,35-42-52.2050N,128572.2050N,097-13-33.1210W,350013.1210W,E,1070.0,E,07E,1985.0,,DALLAS-FT WORTH,4.0,SE,,ZKC,ZCK,KANSAS CITY,ZFW,ZCF,FORT WORTH,N,MLC,MC ALESTER,,1-800-WX-BRIEF,,,,,N,Jun-89,O,,,NO OBJECTION,,,,,2,N,,7292013.0,,,,,,,,N,,,N,,,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
POINT (-85.45705555612209 40.8529166669309),6094,APT,05365.*A,AIRPORT,HHG,7/16/2020,AGL,CHI,IN,INDIANA,HUNTINGTON,IN,HUNTINGTON,HUNTINGTON MUNI,PU,PU,HUNTINGTON BOAC,1365 WARREN RD,"HUNTINGTON, IN 46750",260-356-8515,SCOTT NICOLA,1365 WARREN RD,"HUNTINGTON, IN 46750",260-356-8515,40-51-10.5000N,147070.5000N,085-27-25.4000W,307645.4000W,E,805.70001221,S,03W,1990.0,,CHICAGO,3.0,SE,133.0,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,HUF,TERRE HAUTE,,1-800-WX-BRIEF,,,,HUF,Y,Dec-42,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,9182018.0,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,40.0,1.0,1.0,0.0,0.0,0.0,0.0,,,52.0,3492.0,1667.0,,12/31/2017,NGS,6/30/2010,NGS,6/30/2010,,"HGR,TIE","INSTR,RNTL,SALES",Y-L,KHHG,N,
