null_feats,ev_time,ev_year,ev_month,ev_nr_apt_loc,apt_dist,apt_elev,light_cond,sky_cond_ceil,sky_cond_nonceil,sky_ceil_ht,sky_nonceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,wx_cond_basic,damage,cert_max_gr_wt,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,type_last_insp,afm_hrs_last_insp,afm_hrs,rwy_len,rwy_width,rwy_num,cat_Aircraft,cat_Personnel,cat_Environmental,cat_Organization,cat_NotDetermined,crew_no,crew_age,med_certf,Owner_Type,Fac_Use,Dist_City_,Region_Cod
4,17.0,2023,5,1.0,0.0,3071.0,2.0,0.0,2.0,0.0,0.0,,158.0,32.0,120.0,5.0,0.0,0.0,1.0,2.0,3.0,6000.0,AIR,0.0,1.0,1.0,1.0,3.0,37,2899.0,6000.0,100.0,17,0.0,0.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,ACE
4,14.23,2016,7,0.0,1.0,1249.0,2.0,2.0,2.0,0.0,0.0,10.0,154.4,141.8,30.0,6.0,0.0,30.09,4.0,2.0,4.0,3877.8,AIR,0.0,1.0,,1.0,3.0,108,7008.2998,,,,0.0,3.0,3.0,0.0,0.0,1.0,44.0,2.0,1.0,1.0,3.0,ACE
3,17.77,2019,6,1.0,0.0,372.0,2.0,2.0,2.0,0.0,0.0,10.0,190.4,154.4,140.0,5.0,0.0,30.15,3.0,2.0,3.0,1320.0,AIR,0.0,2.0,1.0,1.0,5.0,1440,85.699997,,,,1.0,0.0,0.0,0.0,0.0,1.0,68.0,4.0,0.0,1.0,3.0,AWP
3,11.83,2016,7,0.0,0.0,461.9,2.0,2.0,2.0,0.0,15000.0,10.0,177.8,167.0,210.0,10.0,0.0,29.9,4.0,2.0,4.0,12500.0,AIR,0.0,1.0,1.0,1.0,3.0,5112,1025.6,,,,0.0,1.0,2.0,0.0,0.0,1.0,48.0,2.0,1.0,1.0,1.0,ANM
3,17.25,2015,10,0.0,0.0,1696.3,2.0,2.0,2.0,0.0,0.0,10.0,154.4,113.0,0.0,3.0,0.0,30.110001,1.0,2.0,3.0,2600.0,AIR,0.0,4.0,1.0,1.0,3.0,52,4558.3599,,,,0.0,2.0,0.0,0.0,0.0,1.0,59.0,3.0,1.0,1.0,3.0,AGL
3,18.38,2018,5,0.0,0.0,631.8,2.0,1.0,3.0,3600.0,1700.0,10.0,158.0,145.4,230.0,8.0,0.0,29.9,4.0,2.0,4.0,4570.0,AIR,0.0,6.0,2.0,1.0,3.0,5568,7603.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,31.0,1.0,1.0,1.0,3.0,AGL
11,13.0,2013,1,1.0,0.0,76.8,0.0,0.0,0.0,0.0,0.0,,32.0,32.0,0.0,,0.0,0.0,4.0,2.0,4.0,3877.8,AIR,0.0,,,1.0,0.0,0,,,,,0.0,0.0,0.0,0.0,1.0,,,,1.0,1.0,3.0,AWP
3,23.5,2012,2,0.0,0.0,20.0,2.0,4.0,0.0,1800.0,0.0,10.0,98.6,89.6,40.0,5.0,0.0,30.32,1.0,2.0,3.0,2300.0,AIR,0.0,4.0,1.0,1.0,3.0,5064,3660.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,58.0,2.0,0.0,0.0,2.0,ASO
0,0.63,2023,11,1.0,0.0,213.0,2.0,2.0,0.0,7000.0,0.0,7.0,150.8,138.2,250.0,4.0,0.0,29.940001,1.0,2.0,3.0,1170.0,GYRO,0.0,2.0,1.0,1.0,5.0,16176,291.0,5710.0,150.0,17/3,1.0,1.0,1.0,0.0,0.0,1.0,51.0,0.0,1.0,1.0,3.0,AWP
10,5.33,2012,11,1.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,,32.0,32.0,0.0,,0.0,0.0,1.0,2.0,2.0,3877.8,AIR,0.0,,,1.0,0.0,0,,,,03L,0.0,0.0,0.0,0.0,1.0,,,,1.0,1.0,2.0,AWP
